城市,日期,AQI指数,空气质量级别
上海市,2017-08-24,116,轻度污染
上海市,2017-08-25,89,良
上海市,2017-08-26,69,良
上海市,2017-08-27,59,良
上海市,2017-08-28,123,轻度污染
上海市,2017-08-29,54,良
上海市,2017-08-30,49,优
上海市,2017-08-31,77,良
上海市,2017-09-01,92,良
上海市,2017-09-02,82,良
上海市,2017-09-03,60,良
上海市,2017-09-04,54,良
上海市,2017-09-05,97,良
上海市,2017-09-06,79,良
上海市,2017-09-07,50,优
上海市,2017-09-08,69,良
上海市,2017-09-09,59,良
上海市,2017-09-10,82,良
上海市,2017-09-11,49,优
上海市,2017-09-12,82,良
上海市,2017-09-13,87,良
上海市,2017-09-14,85,良
上海市,2017-09-15,43,优
上海市,2017-09-16,70,良
上海市,2017-09-17,75,良
上海市,2017-09-18,160,中度污染
上海市,2017-09-19,135,轻度污染
上海市,2017-09-20,55,良
上海市,2017-09-21,51,良
上海市,2017-09-22,84,良
上海市,2017-09-23,62,良
上海市,2017-09-24,47,优
上海市,2017-09-25,57,良
上海市,2017-09-26,92,良
上海市,2017-09-27,67,良
上海市,2017-09-28,63,良
上海市,2017-09-29,69,良
上海市,2017-09-30,48,优
上海市,2017-10-01,67,良
上海市,2017-10-02,44,优
上海市,2017-10-03,50,优
上海市,2017-10-04,48,优
上海市,2017-10-05,43,优
上海市,2017-10-06,74,良
上海市,2017-10-07,85,良
上海市,2017-10-08,59,良
上海市,2017-10-09,44,优
上海市,2017-10-10,43,优
上海市,2017-10-11,38,优
上海市,2017-10-12,46,优
上海市,2017-10-13,46,优
上海市,2017-10-14,60,良
上海市,2017-10-15,51,良
上海市,2017-10-16,45,优
上海市,2017-10-17,47,优
上海市,2017-10-18,46,优
上海市,2017-10-19,47,优
上海市,2017-10-20,58,良
上海市,2017-10-21,87,良
